Designator,Mid X,Mid Y,Layer,Rotation
BT3001,144.0788mm,39.5852mm,Top,270.0
C6001,116.2404mm,85.3052mm,Top,0.0
C6002,108.8874mm,86.9308mm,Top,0.0
C6003,116.2912mm,82.7652mm,Top,0.0
D3001,139.1512mm,58.3304mm,Top,0.0
F4001,26.4005mm,77.496mm,Top,0.0
F4002,26.4005mm,62.496mm,Top,0.0
F4003,26.4005mm,47.496mm,Top,0.0
F4004,26.4005mm,32.496mm,Top,0.0
J2001,60.4156mm,19.2952mm,Top,0.0
J2002,42.564mm,13.955mm,Top,180.0
J3001,143.2916mm,8.4268mm,Top,270.0
P2001,147.3765mm,106.645mm,Top,180.0
Q4001,14.732mm,77.496mm,Top,0.0
Q4002,14.732mm,62.496mm,Top,0.0
Q4003,14.732mm,47.496mm,Top,0.0
Q4004,14.732mm,32.496mm,Top,0.0
R4001,23.835mm,76.734mm,Top,90.0
R4002,23.835mm,61.734mm,Top,90.0
R4003,23.835mm,46.734mm,Top,90.0
R4004,17.536mm,84.354mm,Top,180.0
R4005,17.536mm,69.354mm,Top,180.0
R4006,17.536mm,54.354mm,Top,180.0
R4007,23.835mm,31.734mm,Top,90.0
R4008,17.536mm,39.354mm,Top,180.0
R5001,77.181954mm,74.407mm,Top,90.0
R5002,81.080046mm,74.407mm,Top,90.0
R5003,75.232908mm,74.407mm,Top,90.0
R5004,79.131mm,74.407mm,Top,90.0
U5001,74.432mm,80.784mm,Top,0.0
U5002,81.012mm,80.784mm,Top,0.0
U6001,110.5832mm,83.4084mm,Top,270.0
R428,136.71860099999998mm,78.692501mm,Bottom,270.0
R427,149.85300099999998mm,80.047001mm,Bottom,180.0
R426,138.327201mm,79.687101mm,Top,90.0
R425,139.635301mm,72.572001mm,Top,270.0
R424,139.635301mm,70.274901mm,Top,90.0
LED4,151.39490099999998mm,80.935901mm,Top,90.0
LED3,138.327201mm,77.537801mm,Top,270.0
LED2,138.553901mm,72.547001mm,Top,270.0
LED1,138.553901mm,70.299901mm,Top,90.0
R422,145.544601mm,81.047001mm,Bottom,0.0
C426,139.31300099999999mm,75.647001mm,Top,180.0
C425,142.00300099999998mm,75.647001mm,Top,0.0
F410,144.846001mm,67.380201mm,Top,180.0
C415,139.679601mm,81.347001mm,Bottom,180.0
C414,140.65460099999999mm,71.837001mm,Bottom,0.0
U411,142.08080099999998mm,76.697001mm,Bottom,270.0
D410,149.203001mm,67.680201mm,Bottom,0.0
R411,149.104601mm,64.780201mm,Bottom,90.0
D417,146.454601mm,64.547001mm,Bottom,0.0
C410,141.21000099999998mm,66.48700099999999mm,Bottom,0.0
D412,145.553001mm,63.930201mm,Top,0.0
R410,148.329601mm,63.897001mm,Top,180.0
D413,145.553001mm,65.555201mm,Top,0.0
C411,146.479601mm,66.347001mm,Bottom,180.0
R413,146.479601mm,67.880201mm,Bottom,180.0
D414,149.00300099999998mm,66.347001mm,Bottom,180.0
D418,145.273001mm,71.547001mm,Top,180.0
D416,140.401401mm,67.453301mm,Top,0.0
U410,140.804601mm,64.847001mm,Top,0.0
C412,141.21000099999998mm,64.447001mm,Bottom,0.0
C413,143.179601mm,65.28410099999999mm,Top,270.0
D411,148.854601mm,66.355501mm,Top,180.0
U420,147.93960099999998mm,75.455201mm,Bottom,0.0
R420,143.829601mm,67.030101mm,Bottom,270.0
C429,145.644601mm,80.047001mm,Bottom,180.0
C427,144.92330099999998mm,66.845101mm,Bottom,90.0
C428,147.833701mm,80.047001mm,Bottom,0.0
C423,147.00640099999998mm,69.955201mm,Bottom,270.0
C421,145.814801mm,69.955201mm,Bottom,270.0
C422,144.623301mm,69.955201mm,Bottom,270.0
C424,148.203001mm,69.955201mm,Bottom,90.0
R421,144.448301mm,71.717001mm,Bottom,180.0
R423,147.733701mm,81.047001mm,Bottom,0.0
D420,146.203001mm,82.047001mm,Top,180.0
C420,149.25300099999998mm,69.547001mm,Bottom,90.0
L420,141.303001mm,69.647001mm,Bottom,0.0
D421,140.953001mm,80.007801mm,Top,90.0
L421,146.703001mm,77.447001mm,Top,180.0
R148,75.351395mm,61.142595mm,Bottom,180.0
R142,76.751395mm,62.042595000000006mm,Bottom,180.0
U108,92.931595mm,28.951595mm,Top,0.0
VD103,95.751395mm,33.537595mm,Bottom,270.0
U101,67.701395mm,58.388995mm,Top,270.0
C119,75.351495mm,53.661995000000005mm,Bottom,0.0
R147,84.362995mm,61.458895mm,Bottom,0.0
R146,64.685295mm,60.042595000000006mm,Bottom,270.0
R141,77.751395mm,62.042595000000006mm,Bottom,180.0
U102,72.807895mm,56.671095mm,Bottom,180.0
R109,72.867695mm,56.075395mm,Top,180.0
R108,69.951395mm,55.686595mm,Bottom,180.0
Q103,73.594195mm,58.139395mm,Top,180.0
Q102,78.146395mm,60.742594999999994mm,Top,180.0
Q101,72.423895mm,60.977594999999994mm,Bottom,0.0
Q100,69.051395mm,58.337595mm,Bottom,270.0
L100,78.950795mm,42.292595mm,Bottom,180.0
F100,80.806395mm,60.970995mm,Bottom,180.0
C120,77.051495mm,42.142095mm,Top,0.0
C107,71.929895mm,58.742595mm,Bottom,0.0
C106,71.954895mm,54.399495mm,Bottom,0.0
U110,71.504495mm,52.347495mm,Bottom,270.0
R145,71.543595mm,49.387295mm,Bottom,0.0
R144,71.543595mm,50.332795000000004mm,Bottom,0.0
R143,64.948195mm,38.173795mm,Bottom,270.0
R107,73.665295mm,60.320994999999996mm,Top,0.0
D108,73.304495mm,61.692595mm,Top,180.0
U107,94.657895mm,38.146495mm,Bottom,0.0
U106,95.343795mm,51.574394999999996mm,Top,0.0
C134,94.657895mm,36.410195mm,Bottom,0.0
C126,95.64659499999999mm,53.517695mm,Top,180.0
VD102,92.397595mm,33.537595mm,Bottom,270.0
VD101,95.751395mm,29.147595000000003mm,Bottom,90.0
VD100,92.397595mm,29.147595000000003mm,Bottom,90.0
U109,92.931595mm,31.426595mm,Top,0.0
U103,70.051395mm,44.767595mm,Bottom,270.0
U100,67.651495mm,51.443095mm,Top,90.0
U195,74.851395mm,37.292595mm,Top,90.0
U190,89.051395mm,37.292595mm,Top,90.0
U185,67.751395mm,37.292595mm,Top,90.0
U180,81.95139499999999mm,37.292595mm,Top,90.0
S101,83.75109499999999mm,60.556895mm,Top,0.0
S100,94.897895mm,47.442595mm,Top,90.0
R140,88.851495mm,31.242595mm,Bottom,0.0
R111,65.051395mm,42.592595mm,Bottom,180.0
R112,65.051395mm,43.642595mm,Bottom,180.0
R117,65.051395mm,48.892595mm,Bottom,180.0
R115,65.051395mm,46.792595000000006mm,Bottom,180.0
R116,65.051395mm,47.842595mm,Bottom,180.0
R114,65.051395mm,45.742595mm,Bottom,180.0
R113,65.051395mm,44.692595mm,Bottom,180.0
R110,65.051395mm,41.542595mm,Bottom,180.0
R120,95.36969500000001mm,54.729595mm,Top,0.0
R100,64.751495mm,51.442595mm,Bottom,90.0
R258,85.509095mm,30.737495000000003mm,Bottom,270.0
R255,64.701395mm,28.842595mm,Bottom,270.0
R256,86.45139499999999mm,33.442595mm,Bottom,90.0
R254,64.601395mm,31.292595mm,Top,270.0
R245,82.151495mm,29.792595000000002mm,Bottom,0.0
R227,77.351395mm,29.792595000000002mm,Bottom,0.0
R200,67.751495mm,29.792595000000002mm,Bottom,0.0
R197,74.851495mm,38.642595mm,Bottom,180.0
R196,74.851395mm,35.842595mm,Bottom,0.0
R195,77.701495mm,35.342595mm,Bottom,270.0
R191,88.95139499999999mm,38.642595mm,Bottom,180.0
R190,88.95139499999999mm,35.842595mm,Bottom,0.0
R186,67.751395mm,38.642595mm,Bottom,180.0
R185,67.751395mm,35.842595mm,Bottom,0.0
R181,81.95139499999999mm,38.642595mm,Bottom,180.0
R180,81.95139499999999mm,35.842595mm,Bottom,0.0
R139,90.051395mm,28.742595mm,Top,270.0
R138,88.851395mm,28.742595mm,Top,270.0
R137,87.65139500000001mm,28.742595mm,Top,270.0
R136,86.45139499999999mm,28.742595mm,Top,270.0
R135,90.051395mm,29.742595mm,Top,90.0
R132,88.851395mm,29.742595mm,Top,90.0
R126,87.65139500000001mm,29.742595mm,Top,90.0
R124,86.45139499999999mm,29.742595mm,Top,90.0
R119,65.651395mm,42.642595mm,Top,90.0
R118,65.651395mm,46.742595mm,Top,90.0
R253,84.051395mm,28.742595mm,Top,90.0
R252,82.851395mm,28.742595mm,Top,90.0
R251,81.65139500000001mm,28.742595mm,Top,90.0
R250,80.45139499999999mm,28.742595mm,Top,90.0
R249,84.051395mm,29.742595mm,Top,270.0
R248,82.851395mm,29.742595mm,Top,270.0
R247,81.65139500000001mm,29.742595mm,Top,270.0
R246,80.45139499999999mm,29.742595mm,Top,270.0
R235,79.251395mm,28.742595mm,Top,90.0
R234,78.051395mm,28.742595mm,Top,90.0
R233,76.851395mm,28.742595mm,Top,90.0
R232,75.651395mm,28.742595mm,Top,90.0
R231,79.251395mm,29.742595mm,Top,270.0
R230,78.051395mm,29.742595mm,Top,270.0
R229,76.851395mm,29.742595mm,Top,270.0
R228,75.651395mm,29.742595mm,Top,270.0
R226,74.451395mm,28.742595mm,Top,270.0
R225,73.251395mm,28.742595mm,Top,270.0
R224,72.051395mm,28.742595mm,Top,270.0
