Comment,Designator,Footprint,LCSC Part #
"Battery_Cell","BT3001","BatteryHolder_Keystone_1058_1x2032",""
"10n","C6001","C0603",""
"10u","C6002","C0603",""
"10u","C6003","C0603",""
"1N4148WS","D3001","SOD-323","C2128"
"50mA","F4001","Fuse_0603_1608Metric","C369141"
"50mA","F4002","Fuse_0603_1608Metric","C369141"
"50mA","F4003","Fuse_0603_1608Metric","C369141"
"50mA","F4004","Fuse_0603_1608Metric","C369141"
"Conn_02x12_Top_Bottom","J2001","348260240",""
"Conn_02x03_Top_Bottom","J2002","Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal",""
"USB_B","J3001","USB_B","C46392"
"Module:power_12and5V/0.2","M3001","power_12and5V",""
"Module:mega-mcu100/0.3","M3002","mega-mcu100",""
"Module:can/0.1","M3003","can",""
"Module:wbo/0.5","M3004","wbo",""
"Module:lin/0.1","M3005","lin",""
"Module:knock/0.2","M6001","knock",""
"Module:knock/0.2","M6002","knock",""
"134pin_7-967288-1_KC5","P2001","7-967288-1_134-pin-connector",""
"ISL9V3040D3ST","Q4001","DPAK",""
"ISL9V3040D3ST","Q4002","DPAK",""
"ISL9V3040D3ST","Q4003","DPAK",""
"ISL9V3040D3ST","Q4004","DPAK",""
"22","R4001","R0603","C23345"
"22","R4002","R0603","C23345"
"22","R4003","R0603","C23345"
"0","R4004","R2512","C25469"
"0","R4005","R2512","C25469"
"0","R4006","R2512","C25469"
"22","R4007","R0603","C23345"
"0","R4008","R2512","C25469"
"4.7k","R5001","R0603","C23162"
"4.7k","R5002","R0603","C23162"
"4.7k","R5003","R0603","C23162"
"4.7k","R5004","R0603","C23162"
"VNLD5160TR-E","U5001","SO8","C377942"
"VNLD5160TR-E","U5002","SO8","C377942"
"MCP6002-xSN","U6001","SO8",""
