Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT3001,144.078800mm,39.585200mm,Top,-90.0,144.078800mm,39.585200mm
C6001,116.240400mm,85.305200mm,Top,0.0,116.240400mm,85.305200mm
C6002,108.887400mm,86.930800mm,Top,0.0,108.887400mm,86.930800mm
C6003,116.291200mm,82.765200mm,Top,0.0,116.291200mm,82.765200mm
D3001,139.151200mm,58.330400mm,Top,0.0,139.151200mm,58.330400mm
F4001,26.400500mm,77.496000mm,Top,0.0,26.400500mm,77.496000mm
F4002,26.400500mm,62.496000mm,Top,0.0,26.400500mm,62.496000mm
F4003,26.400500mm,47.496000mm,Top,0.0,26.400500mm,47.496000mm
F4004,26.400500mm,32.496000mm,Top,0.0,26.400500mm,32.496000mm
J2001,60.415600mm,19.295200mm,Top,0.0,60.415600mm,19.295200mm
J2002,42.564000mm,13.955000mm,Top,180.0,42.564000mm,13.955000mm
J3001,143.291600mm,8.426800mm,Top,-90.0,143.291600mm,8.426800mm
M3001,152.403001mm,83.947001mm,Top,180.0,152.403001mm,83.947001mm
M3002,63.551395mm,26.942595mm,Top,0.0,63.551395mm,26.942595mm
M3003,124.190499mm,51.690337mm,Top,180.0,124.190499mm,51.690337mm
M3004,41.345000mm,56.155000mm,Top,-90.0,41.345000mm,56.155000mm
M3005,117.719300mm,65.665566mm,Top,0.0,117.719300mm,65.665566mm
M6001,90.938200mm,82.967398mm,Top,0.0,90.938200mm,82.967398mm
M6002,90.932800mm,79.324196mm,Top,0.0,90.932800mm,79.324196mm
P2001,147.376500mm,106.645000mm,Top,180.0,147.376500mm,106.645000mm
Q4001,14.732000mm,77.496000mm,Top,0.0,14.732000mm,77.496000mm
Q4002,14.732000mm,62.496000mm,Top,0.0,14.732000mm,62.496000mm
Q4003,14.732000mm,47.496000mm,Top,0.0,14.732000mm,47.496000mm
Q4004,14.732000mm,32.496000mm,Top,0.0,14.732000mm,32.496000mm
R4001,23.835000mm,76.734000mm,Top,90.0,23.835000mm,76.734000mm
R4002,23.835000mm,61.734000mm,Top,90.0,23.835000mm,61.734000mm
R4003,23.835000mm,46.734000mm,Top,90.0,23.835000mm,46.734000mm
R4004,17.536000mm,84.354000mm,Top,180.0,17.536000mm,84.354000mm
R4005,17.536000mm,69.354000mm,Top,180.0,17.536000mm,69.354000mm
R4006,17.536000mm,54.354000mm,Top,180.0,17.536000mm,54.354000mm
R4007,23.835000mm,31.734000mm,Top,90.0,23.835000mm,31.734000mm
R4008,17.536000mm,39.354000mm,Top,180.0,17.536000mm,39.354000mm
R5001,77.181954mm,74.407000mm,Top,90.0,77.181954mm,74.407000mm
R5002,81.080046mm,74.407000mm,Top,90.0,81.080046mm,74.407000mm
R5003,75.232908mm,74.407000mm,Top,90.0,75.232908mm,74.407000mm
R5004,79.131000mm,74.407000mm,Top,90.0,79.131000mm,74.407000mm
U5001,74.432000mm,80.784000mm,Top,0.0,74.432000mm,80.784000mm
U5002,81.012000mm,80.784000mm,Top,0.0,81.012000mm,80.784000mm
U6001,110.583200mm,83.408400mm,Top,270.0,110.583200mm,83.408400mm
