Ref,Val,Package,PosX,PosY,Rot,Side
"BT301","Battery_Cell","BatteryHolder_Keystone_1058_1x2032",224.078800,-118.414800,-90.000000,top
"C601","10n","C_0603_1608Metric",196.240400,-72.694800,0.000000,top
"C602","10u","C_0603_1608Metric",188.887400,-71.069200,0.000000,top
"C603","10u","C_0603_1608Metric",196.291200,-75.234800,0.000000,top
"D301","1N4148WS","SOD-323",219.151200,-99.669600,0.000000,top
"F401","50mA","Fuse_0603_1608Metric",106.400500,-80.504000,0.000000,top
"F402","50mA","Fuse_0603_1608Metric",106.400500,-125.504000,0.000000,top
"F403","50mA","Fuse_0603_1608Metric",106.400500,-95.504000,0.000000,top
"F404","50mA","Fuse_0603_1608Metric",106.400500,-110.504000,0.000000,top
"J201","Conn_02x03_Top_Bottom","Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal",122.564000,-144.045000,180.000000,top
"J203","Conn_02x12_Top_Bottom","348260240",140.415600,-138.704800,0.000000,top
"J301","USB_B","USB_B",223.291600,-149.573200,-90.000000,top
"M301","Module:mega-mcu100/0.3","mega-mcu100",143.551395,-131.057405,0.000000,top
"M302","Module-can-0.1","can",204.190499,-106.309663,180.000000,top
"M303","Module-wbo-0.5","wbo",121.345000,-101.845000,-90.000000,top
"M304","Module-lin-0.1","lin",197.719300,-92.334434,0.000000,top
"M306","Module-power_12and5V-0.2","power_12and5V",232.403001,-74.052999,180.000000,top
"M601","Module-knock-0.2","knock",170.938200,-75.032602,0.000000,top
"M602","Module-knock-0.2","knock",170.932800,-78.675804,0.000000,top
"P201","134pin_7-967288-1_KC5","7-967288-1_134-pin-connector",227.376500,-51.355000,180.000000,top
"Q401","ISL9V3040D3ST","TO-252-2",94.732000,-80.504000,180.000000,top
"Q402","ISL9V3040D3ST","TO-252-2",94.732000,-125.504000,180.000000,top
"Q403","ISL9V3040D3ST","TO-252-2",94.732000,-95.504000,180.000000,top
"Q404","ISL9V3040D3ST","TO-252-2",94.732000,-110.504000,180.000000,top
"R401","0","R_2512_6332Metric",97.536000,-73.646000,180.000000,top
"R402","0","R_2512_6332Metric",97.536000,-118.646000,180.000000,top
"R403","22","R0603",103.835000,-81.266000,90.000000,top
"R404","22","R0603",103.835000,-126.266000,90.000000,top
"R405","0","R_2512_6332Metric",97.536000,-88.646000,180.000000,top
"R406","22","R0603",103.835000,-96.266000,90.000000,top
"R407","0","R_2512_6332Metric",97.536000,-103.646000,180.000000,top
"R408","22","R0603",103.835000,-111.266000,90.000000,top
"R501","4.7k","R0603",155.232908,-83.593000,90.000000,top
"R502","4.7k","R0603",157.181954,-83.593000,90.000000,top
"R503","4.7k","R0603",159.131000,-83.593000,90.000000,top
"R504","4.7k","R0603",161.080046,-83.593000,90.000000,top
"U501","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",154.432000,-77.216000,90.000000,top
"U502","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",161.012000,-77.216000,90.000000,top
"U601","MCP6002-xSN","SOIC-8_3.9x4.9mm_P1.27mm",190.583200,-74.591600,0.000000,top
