"Comment","Designator","Footprint","LCSC Part #"
"Battery_Cell","BT301","Battery:BatteryHolder_Keystone_1058_1x2032",""
"10n","C601","Capacitor_SMD:C_0603_1608Metric",""
"10u","C602","Capacitor_SMD:C_0603_1608Metric",""
"10u","C603","Capacitor_SMD:C_0603_1608Metric",""
"1N4148WS","D301","hellen-one-common:SOD-323","C2128"
"50mA","F401","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F402","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F403","Fuse:Fuse_0603_1608Metric","C369141"
"50mA","F404","Fuse:Fuse_0603_1608Metric","C369141"
"Conn_02x03_Top_Bottom","J201","Connector_Molex:Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal",""
"Conn_02x12_Top_Bottom","J203","34826-0240:348260240",""
"USB_B","J301","kicad6-libraries:USB_B","C46392"
"Module:mega-mcu100/0.3","M301","hellen-one-mega-mcu100-0.3:mega-mcu100",""
"Module-can-0.1","M302","hellen-one-can-0.1:can",""
"Module-wbo-0.5","M303","hellen-one-wbo-0.5:wbo",""
"Module-lin-0.1","M304","hellen-one-lin-0.1:lin",""
"Module-power_12and5V-0.2","M306","hellen-one-power_12and5V-0.2:power_12and5V",""
"Module-knock-0.2","M601","hellen-one-knock-0.2:knock",""
"Module-knock-0.2","M602","hellen-one-knock-0.2:knock",""
"134pin_7-967288-1_KC5","P201","Breakout_134pin_7-967288-1_KC5:7-967288-1_134-pin-connector",""
"ISL9V3040D3ST","Q401","Package_TO_SOT_SMD:TO-252-2",""
"ISL9V3040D3ST","Q402","Package_TO_SOT_SMD:TO-252-2",""
"ISL9V3040D3ST","Q403","Package_TO_SOT_SMD:TO-252-2",""
"ISL9V3040D3ST","Q404","Package_TO_SOT_SMD:TO-252-2",""
"0","R401","Resistor_SMD:R_2512_6332Metric","C25469"
"0","R402","Resistor_SMD:R_2512_6332Metric","C25469"
"22","R403","hellen-one-common:R0603","C23345"
"22","R404","hellen-one-common:R0603","C23345"
"0","R405","Resistor_SMD:R_2512_6332Metric","C25469"
"22","R406","hellen-one-common:R0603","C23345"
"0","R407","Resistor_SMD:R_2512_6332Metric","C25469"
"22","R408","hellen-one-common:R0603","C23345"
"4.7k","R501","hellen-one-common:R0603","C23162"
"4.7k","R502","hellen-one-common:R0603","C23162"
"4.7k","R503","hellen-one-common:R0603","C23162"
"4.7k","R504","hellen-one-common:R0603","C23162"
"VNLD5160TR-E","U501","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"VNLD5160TR-E","U502","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C377942"
"MCP6002-xSN","U601","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
